Ref_Motion_Blur_Magnitude,Ref_Motion_Blur_Direction,Current_Motion_Blur_Magnitude,Current_Motion_Blur_Direction,SSIM_u,SSIM_v,SSIM_exx,SSIM_exy,SSIM_eyy,PSNR_u,PSNR_v,PSNR_exx,PSNR_exy,PSNR_eyy
30,5,30,5,0.9342782321172386,0.9971078863443861,0.9943424739880049,0.9982826934119369,0.9990500654577266,34.62997517652272,29.26351955424324,41.544274544887756,43.076004321773105,42.795280758727976
30,15,30,15,0.9216611145762555,0.9949571440840983,0.9919636493319473,0.9974016510981955,0.9982106085882172,33.61949115437557,24.168006882820798,37.67282873010632,38.645865914802904,38.150691749354344
30,30,30,30,0.9359815544302114,0.9903683360318881,0.9940290278119067,0.9976710832847026,0.9975882081274098,35.00711057354203,27.35486144414025,40.3857133890179,41.387761104661685,40.85251803272004
30,45,30,45,0.955067211606104,0.9862134622565312,0.9965265683824108,0.9979825515937979,0.9966053868452335,37.33876659763317,28.929238913591945,42.69208645720576,43.01980792197781,42.308471386480484
30,60,30,60,0.9701383973802891,0.9812159596543337,0.9981057482582141,0.9981774411007255,0.9953357604470672,39.92203090180339,35.18414586394974,51.80547390553958,51.53525988740078,48.25851803796414
30,75,30,75,0.9834011838538487,0.9771506920718335,0.9986749647200664,0.9977532445622406,0.9939027336492179,40.97458497197568,26.923982368517876,41.712327415683,41.416334176856594,40.13858310006209
30,85,30,85,0.9901823365682505,0.9806801451095111,0.9991800530083546,0.9982469962681735,0.9945705677260901,43.34632203421465,28.363029640697054,43.488717309965566,43.11349810929458,41.46676501976988
30,90,30,90,0.9928072216468389,0.9791552954191928,0.9992175266066349,0.9981719472065805,0.9942481046931981,42.44632802415318,26.944552462114522,41.91852549956831,41.60006248547614,40.051216640622236
35,0,35,0,0.9192122555713695,0.9972445463605069,0.9925371934343697,0.9977462136780374,0.9989260370007573,33.16288579026941,29.178966813994982,40.921417399160454,42.84857269566593,42.64740812348375
35,5,35,5,0.9118233602825615,0.9964609728915105,0.9914594987401877,0.9975666988387634,0.9988084052826646,32.82463024920098,29.244446645987303,40.486957747130184,42.787912292406176,42.70568960763519
35,15,35,15,0.9047157609529992,0.9940178013712929,0.9895105831604848,0.9964793261226961,0.9976864072237378,31.75223650964692,22.110290212977034,36.00328572140266,36.939038665894586,36.33323017160406
35,30,35,30,0.918997708194112,0.988159871009604,0.9915142363673709,0.9973634195803656,0.9969802003909979,33.50209200894433,28.778776048544966,40.55770336073305,42.70806402828893,42.17244427595206
35,45,35,45,0.9384661768701085,0.9815453346972064,0.9952334346832957,0.9973580185710336,0.9956613354011757,35.78468581980013,30.724285770904388,44.053670132226124,45.26324233325653,44.00300378621283
35,60,35,60,0.9628311920642757,0.9765002136430023,0.9971647343934826,0.9972439237469736,0.9938404661062507,37.90009022189933,26.74063543698071,41.40508280407615,41.309123878674725,40.19604250905466
35,75,35,75,0.9818120819352967,0.9744391968560353,0.9986146557586771,0.9973616523199078,0.9933909973576082,40.62461153023662,26.741711492110618,41.69489125773701,41.26250971512167,40.03289336358799
35,85,35,85,0.9898237024228008,0.9735950790629265,0.9990994407261906,0.9973954818963489,0.9925675149246039,42.80074721621234,27.73687191662615,43.48237083483738,42.74426894039352,40.642491147811825
35,90,35,90,0.9928402396644781,0.9729725065634423,0.9991494484098626,0.9973424579022571,0.9924677313167543,41.871754150788135,26.482920506832663,41.89001086738121,41.34023339494278,39.57780440374699
40,0,40,0,0.8972441801938414,0.9964637276789569,0.9905398498363871,0.9966171678402928,0.998405959838312,31.893374640628892,26.247084455157736,39.1259139305498,39.97926211584124,39.73944573535762
40,5,40,5,0.8938122400309189,0.9948461755894329,0.9892058004109217,0.9961403917016796,0.9978210429485393,31.930598513335834,22.98744041962234,36.34981761628157,37.27704652502146,36.89791683614028
40,15,40,15,0.8903321541790654,0.9922621709291773,0.9873938250451848,0.9953126312202555,0.996789375944049,30.47369738785994,20.60077774409025,34.47628276275797,35.32437477872187,34.776620387210585
40,30,40,30,0.8970665515792193,0.9836528935459716,0.9879848866662286,0.9956033598702032,0.9953293098522193,32.19464605788674,23.87506191624891,36.280391214538085,38.027176793374444,37.23169334705626
40,45,40,45,0.9177674878383598,0.9739104052354682,0.9924677642973694,0.9961552258806463,0.994027445281212,33.818135574016694,26.83410865130121,40.24868208164143,41.0465443033447,40.348192311052244
40,60,40,60,0.9562926824399612,0.9694671315475386,0.996364613541441,0.9965082012303345,0.9922356473017803,36.45417026545633,26.418227399348126,41.21620436986512,40.94565240521247,40.04813235561745
40,75,40,75,0.9772690265190472,0.9668313444176782,0.9978908372445903,0.9964429651416409,0.9911003212340405,39.39309802565291,24.003606431591862,38.84179405159438,38.412481098941626,37.32922383916786
40,85,40,85,0.9859563210385123,0.9678868846848724,0.9987558562926427,0.9968866200475563,0.990982292245791,41.30556320443105,26.311703450331485,41.73081223617881,41.276821431629514,39.30174384972946
40,90,40,90,0.9923468117666343,0.967366389419401,0.9990759829825911,0.9970074448129893,0.9913516907809979,41.44297876165901,26.375371088467073,41.8840915324641,41.35440785671922,39.49538162876291
45,0,45,0,0.8787164100081961,0.9956348802887793,0.9878357865404557,0.9953827485781065,0.9979850348021836,30.242147250148818,25.228552892130995,37.941519374828154,38.84166407041822,38.74930711923483
45,5,45,5,0.8812635190281749,0.9934044507574368,0.9867898631820319,0.9945046701656075,0.9967170531742706,30.716458675880514,20.342990686858045,34.047818842717994,34.94213698277373,34.48494887455327
